Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
FSP015,STEX,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
FSP020,ATTO,0,,1,,4,,10,,1,,2,,1,,1,,0,,,,,,,
FSP020,SAVE4,0,,0,,0,,3,,0,,0,,3,,0,,2,,,,,,,
FSP020,ARTRT,0,,0,,0,,0,,0,,0,,0,,0,,2,,,,,,,
FSP020,SATR12,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,
IND011,SPAI,27,,17,,12,,2,,17,,20,,,,,,,,,,,,,
IND011,ERNA10,1,,8,,10,,10,,1,,0,,,,,,,,,,,,,
IND011,ATTO,0,,1,,5,,0,,8,,2,,,,,,,,,,,,,
IND011,DISP,3,,0,,2,,0,,4,,0,,,,,,,,,,,,,
IND011,SAEX,0,,0,,2,,0,,3,,0,,,,,,,,,,,,,
IND011,ASLE8,2,,1,,0,,0,,0,,0,,,,,,,,,,,,,
IND011,GLLE3,0,,0,,3,,0,,0,,0,,,,,,,,,,,,,
IND011,BAHY,0,,1,,0,,0,,0,,0,,,,,,,,,,,,,
IND011,ROWO,0,,0,,1,,0,,0,,0,,,,,,,,,,,,,
IND019,SPAI,39,,35,,24,,31,,0,,7,,,,,,,,,,,,,
IND019,ELTR3,1,,0,,22,,0,,6,,49,,,,,,,,,,,,,
IND019,GLLE3,3,,12,,4,,26,,2,,24,,,,,,,,,,,,,
IND019,DISP,0,,0,,1,,0,,25,,3,,,,,,,,,,,,,
IND019,SAEX,3,,0,,18,,0,,2,,4,,,,,,,,,,,,,
IND019,ROWO,0,,0,,22,,0,,3,,0,,,,,,,,,,,,,
IND019,ERNA10,5,,2,,0,,1,,3,,0,,,,,,,,,,,,,
IND019,JUBA,0,,0,,2,,1,,0,,4,,,,,,,,,,,,,
IND019,SALA3,0,,0,,0,,0,,5,,0,,,,,,,,,,,,,
IND019,SALA6,0,,0,,0,,0,,4,,0,,,,,,,,,,,,,
