Parcel,Year,Transect,Cover,Shrub,Grass,Herb,Herb_Shrub,data_type,source.abr,plotid
FSL044,1987,5,77,0,77,0,0,lpt,bl,FSL044 _ 5 _ bl
FSL044,1987,4,71,0,71,0,0,lpt,bl,FSL044 _ 4 _ bl
FSL044,1987,3,62,0,59,3,0,lpt,bl,FSL044 _ 3 _ bl
FSL044,1987,2,56,0,55,1,0,lpt,bl,FSL044 _ 2 _ bl
FSL054,1987,1,90,73.8,9.9,0,0,wvcom,bl,FSL054 _ 1 _ bl
FSL124,1987,1,61,9.15,46.97,1.83,0,wvcom,bl,FSL124 _ 1 _ bl
FSL125,1987,1,61,9.15,46.97,1.83,0,wvcom,bl,FSL125 _ 1 _ bl
FSL126,1987,1,61,9.15,46.97,1.83,0,wvcom,bl,FSL126 _ 1 _ bl
FSL128,1987,2,36,1,31,4,0,lpt,bl,FSL128 _ 2 _ bl
FSL128,1987,1,62,0,50,12,0,lpt,bl,FSL128 _ 1 _ bl
FSL128,1987,4,53,2,48,3,0,lpt,bl,FSL128 _ 4 _ bl
FSL128,1987,3,41,1,34,6,0,lpt,bl,FSL128 _ 3 _ bl
FSL128,1987,6,60,7,46,7,0,lpt,bl,FSL128 _ 6 _ bl
FSL128,1987,5,40,4,31,5,0,lpt,bl,FSL128 _ 5 _ bl
FSL129,1987,6,47,15,28,4,0,lpt,bl,FSL129 _ 6 _ bl
FSL129,1987,5,44,17,26,1,0,lpt,bl,FSL129 _ 5 _ bl
FSL129,1987,8,56,6,50,0,0,lpt,bl,FSL129 _ 8 _ bl
FSL129,1987,7,43,12,30,1,0,lpt,bl,FSL129 _ 7 _ bl
FSL129,1987,10,51,22,28,1,0,lpt,bl,FSL129 _ 10 _ bl
FSL129,1987,9,62,3,55,4,0,lpt,bl,FSL129 _ 9 _ bl
FSL129,1987,2,30,10,20,0,0,lpt,bl,FSL129 _ 2 _ bl
FSL129,1987,1,49,12,29,8,0,lpt,bl,FSL129 _ 1 _ bl
FSL129,1987,4,65,7,58,0,0,lpt,bl,FSL129 _ 4 _ bl
FSL129,1987,3,39,4,35,0,0,lpt,bl,FSL129 _ 3 _ bl
FSL130,1987,1,34,7,20,7,0,lpt,bl,FSL130 _ 1 _ bl
FSL130,1987,2,25,5,19,1,0,lpt,bl,FSL130 _ 2 _ bl
FSL130,1987,5,27,4,19,4,0,lpt,bl,FSL130 _ 5 _ bl
FSL130,1987,6,20,5,15,0,0,lpt,bl,FSL130 _ 6 _ bl
FSL130,1987,3,28,13,13,2,0,lpt,bl,FSL130 _ 3 _ bl
FSL130,1987,4,28,5,21,2,0,lpt,bl,FSL130 _ 4 _ bl
FSL130,1987,9,15,1,11,3,0,lpt,bl,FSL130 _ 9 _ bl
FSL130,1987,10,36,23,12,1,0,lpt,bl,FSL130 _ 10 _ bl
FSL130,1987,7,24,10,6,8,0,lpt,bl,FSL130 _ 7 _ bl
FSL130,1987,8,24,10,8,6,0,lpt,bl,FSL130 _ 8 _ bl
FSL130,1987,11,9,2,7,0,0,lpt,bl,FSL130 _ 11 _ bl
FSL130,1987,12,33,2,31,0,0,lpt,bl,FSL130 _ 12 _ bl
FSL138,1987,7,77,0,70,7,0,lpt,bl,FSL138 _ 7 _ bl
FSL138,1987,8,67,0,53,14,0,lpt,bl,FSL138 _ 8 _ bl
FSL138,1987,5,52,0,41,11,0,lpt,bl,FSL138 _ 5 _ bl
FSL138,1987,6,82,0,71,11,0,lpt,bl,FSL138 _ 6 _ bl
FSL138,1987,3,62,0,59,3,0,lpt,bl,FSL138 _ 3 _ bl
FSL138,1987,4,79,11,37,31,0,lpt,bl,FSL138 _ 4 _ bl
FSL138,1987,1,75,0,73,2,0,lpt,bl,FSL138 _ 1 _ bl
FSL138,1987,2,73,0,68,5,0,lpt,bl,FSL138 _ 2 _ bl
FSL166,1987,2,64,0,45,19,0,lpt,bl,FSL166 _ 2 _ bl
FSL166,1987,1,55,0,50,5,0,lpt,bl,FSL166 _ 1 _ bl
FSL166,1987,4,60,0,58,2,0,lpt,bl,FSL166 _ 4 _ bl
FSL166,1987,3,46,0,26,20,0,lpt,bl,FSL166 _ 3 _ bl
FSL166,1987,6,64,0,54,10,0,lpt,bl,FSL166 _ 6 _ bl
FSL166,1987,5,50,0,42,8,0,lpt,bl,FSL166 _ 5 _ bl
FSL172,1987,3,63,0,55,8,0,lpt,bl,FSL172 _ 3 _ bl
FSL172,1987,2,43,43,0,0,0,lpt,bl,FSL172 _ 2 _ bl
FSL172,1987,1,89,62,24,3,0,lpt,bl,FSL172 _ 1 _ bl
FSP006_BGP182,1986,1,23.75,2.5,21.25,0,0,wvcom,bl,FSP006_BGP182 _ 1 _ bl
FSP015,1986,1,23.75,11.25,12.5,0,0,wvcom,bl,FSP015 _ 1 _ bl
FSP020,1986,5,26,26,0,0,0,lpt,bl,FSP020 _ 5 _ bl
FSP020,1986,4,15,15,0,0,0,lpt,bl,FSP020 _ 4 _ bl
FSP020,1986,3,14,13,1,0,0,lpt,bl,FSP020 _ 3 _ bl
FSP020,1986,2,16,14,2,0,0,lpt,bl,FSP020 _ 2 _ bl
FSP020,1986,1,25,25,0,0,0,lpt,bl,FSP020 _ 1 _ bl
FSP020,1986,11,16,14,2,0,0,lpt,bl,FSP020 _ 11 _ bl
FSP020,1986,10,12,11,1,0,0,lpt,bl,FSP020 _ 10 _ bl
FSP020,1986,9,10,10,0,0,0,lpt,bl,FSP020 _ 9 _ bl
FSP020,1986,8,23,9,14,0,0,lpt,bl,FSP020 _ 8 _ bl
FSP020,1986,7,11,5,6,0,0,lpt,bl,FSP020 _ 7 _ bl
FSP020,1986,6,20,18,2,0,0,lpt,bl,FSP020 _ 6 _ bl
IND106,1985,1,7.9,6.9,1,0,0,wvcom,bl,IND106 _ 1 _ bl
IND124,1985,1,41,41,0,0,0,lpt,bl,IND124 _ 1 _ bl
IND132,1985,1,32.9,32.55,0.35,0,0,wvcom,bl,IND132 _ 1 _ bl
IND133,1985,1,13.5,13.5,0,0,0,wvcom,bl,IND133 _ 1 _ bl
IND205,1985,1,26.25,1.75,24.5,0,0,wvcom,bl,IND205 _ 1 _ bl
IND231,1985,1,7.6,7.6,0,0,0,wvcom,bl,IND231 _ 1 _ bl
LAW085,1987,1,30.03,0,30.03,0,0,wvcom,bl,LAW085 _ 1 _ bl
LAW105,1987,8,19,6,13,0,0,lpt,bl,LAW105 _ 8 _ bl
LAW105,1987,9,24,6,17,1,0,lpt,bl,LAW105 _ 9 _ bl
LAW105,1987,6,30,18,12,0,0,lpt,bl,LAW105 _ 6 _ bl
LAW105,1987,7,28,17,11,0,0,lpt,bl,LAW105 _ 7 _ bl
LAW105,1987,4,24,9,15,0,0,lpt,bl,LAW105 _ 4 _ bl
LAW105,1987,5,22,0,22,0,0,lpt,bl,LAW105 _ 5 _ bl
LAW105,1987,2,24,4,20,0,0,lpt,bl,LAW105 _ 2 _ bl
LAW105,1987,3,38,20,17,1,0,lpt,bl,LAW105 _ 3 _ bl
LAW105,1987,1,28,2,26,0,0,lpt,bl,LAW105 _ 1 _ bl
LAW108_FSL047,1987,2,56,0,56,0,0,lpt,bl,LAW108_FSL047 _ 2 _ bl
LAW108_FSL047,1987,1,55,0,55,0,0,lpt,bl,LAW108_FSL047 _ 1 _ bl
LAW108_FSL047,1987,6,54,0,51,3,0,lpt,bl,LAW108_FSL047 _ 6 _ bl
LAW108_FSL047,1987,5,56,3,53,0,0,lpt,bl,LAW108_FSL047 _ 5 _ bl
LAW108_FSL047,1987,4,53,1,51,1,0,lpt,bl,LAW108_FSL047 _ 4 _ bl
LAW108_FSL047,1987,3,51,0,51,0,0,lpt,bl,LAW108_FSL047 _ 3 _ bl
LAW108_FSL047,1987,8,53,0,53,0,0,lpt,bl,LAW108_FSL047 _ 8 _ bl
LAW108_FSL047,1987,7,50,0,49,1,0,lpt,bl,LAW108_FSL047 _ 7 _ bl
PLC070,1987,1,47,29,18,0,0,wvcom,bl,PLC070 _ 1 _ bl
PLC106,1987,1,29.1,19.5,9.6,0,0,wvcom,bl,PLC106 _ 1 _ bl
PLC107,1987,1,40.59,35.26,5.33,0,0,wvcom,bl,PLC107 _ 1 _ bl
