Parcel,Year,NDVI_SUR,mean.ndwi.gr.nir,mean.ndwi.gr.swir1,mean.ndwi.nir.swir1,mean.tc.bright,mean.tc.wet,mean.tc.green,sd.ndvi,n,PPT,sd.ppt,n.month.ppt
BIS112,2014,0.6254054545454545,-0.6276727272727273,-0.44567490909090907,0.26411318181818183,0.45429745454545456,-0.06324018181818182,0.14436727272727273,0.047224232030523554,11,82.238387,7.373889953043206,12
BIS112,2015,0.5818129166666667,-0.5935786666666667,-0.440762,0.21840325,0.4693555,-0.077524,0.1303365,0.04699520131490862,12,72.022926,6.63883853401203,12
BIS112,2016,0.6551470625,-0.6499110625,-0.44134375000000003,0.3084909375,0.454947,-0.0572890625,0.16313275,0.06681242134360822,16,155.660817,9.71284179998235,12
BIS112,2017,0.7087790833333333,-0.6822299166666667,-0.4304685833333333,0.36964975,0.4211878333333333,-0.029750416666666668,0.17624166666666666,0.08840312912341172,12,316.44052,46.30621027313016,12
BIS112,2018,0.711813923076923,-0.6836030000000001,-0.4453766153846154,0.35241784615384614,0.452568,-0.04834269230769231,0.1774146153846154,0.03057377932003593,13,93.07087200000001,9.075418574020354,12
BIS112,2019,0.6998172857142857,-0.6744832142857143,-0.4473459285714286,0.33318492857142856,0.43438607142857144,-0.048349642857142855,0.1727544285714286,0.029593332262075972,14,197.702167,22.432190978309198,12
BIS112,2020,0.6348295714285714,-0.6304122857142858,-0.4587767857142857,0.2485302857142857,0.4622337142857143,-0.0675215,0.147619,0.04001507923984943,14,57.2,6.649857597017101,12
BIS113,1984,0.6877165000000001,-0.669815,-0.49373,0.2721405,0.417872,-0.09651799999999999,0.20791199999999999,0.012570237249153286,2,128.31507200000001,13.03843472428851,12
BIS113,1985,0.7174241666666666,-0.6889218333333333,-0.47742066666666666,0.32715866666666665,0.4077665,-0.07651483333333334,0.22261233333333333,0.08092325928042363,6,119.282842,12.97605807592878,12
BIS113,1986,0.6521554285714286,-0.6393668571428571,-0.48851100000000003,0.22432728571428573,0.3960487142857143,-0.104154,0.17770585714285714,0.08300788857262732,7,196.146297,22.873142731314072,12
BIS113,1987,0.6041718571428571,-0.5978722857142857,-0.45520885714285714,0.19892528571428572,0.426925,-0.11787542857142858,0.16884285714285713,0.08509396485342655,7,62.133191,5.189716823437802,12
BIS113,1988,0.634984,-0.6227828333333333,-0.428672,0.26589966666666665,0.39284183333333333,-0.08158733333333333,0.17001166666666667,0.025562606064327618,6,156.746791,14.316131781844629,12
BIS113,1989,0.6190585,-0.613634,-0.40575133333333335,0.2826091666666667,0.418628,-0.08263133333333333,0.18162783333333335,0.08933264402389532,6,69.034257,7.8169103233453505,12
BIS113,1990,0.663882,-0.648833,-0.428881,0.30800775,0.39981675000000005,-0.07395125,0.190893,0.056212903696571274,4,91.07407,7.615266899942472,12
BIS113,1991,0.6255552,-0.6174912,-0.40982280000000004,0.2790794,0.398056,-0.0775748,0.1776708,0.0676523134024255,5,93.03508599999999,21.111186786903442,12
BIS113,1992,0.566873,-0.5664835,-0.3659795,0.257881,0.42338133333333333,-0.0830325,0.15804983333333333,0.10678332912023301,6,119.57600699999999,11.413280463776495,12
BIS113,1993,0.668014,-0.6447131666666667,-0.42191133333333336,0.3063923333333333,0.37805,-0.068051,0.18080266666666667,0.012298622410660478,6,201.21363399999998,22.67032150571413,12
BIS113,1994,0.6648738750000001,-0.648404,-0.41407400000000005,0.32152025,0.389323,-0.06471974999999999,0.1885775,0.03492589700018969,8,79.339141,9.240306450801622,12
BIS113,1995,0.711255375,-0.686132125,-0.444864125,0.34807475,0.373766125,-0.057218374999999995,0.197883625,0.019415227035481326,8,189.782362,23.729002391754207,12
BIS113,1996,0.6058865714285714,-0.592014,-0.4546855714285714,0.18992842857142858,0.39263785714285715,-0.10547585714285715,0.14959514285714287,0.06204364605892947,7,113.858461,15.973958137051877,12
BIS113,1997,0.6088,-0.590352,-0.479301625,0.155711375,0.42406437500000005,-0.130527625,0.163406625,0.015449009140672158,8,148.425028,13.406240055837088,12
BIS113,1998,0.5597920000000001,-0.5505715714285715,-0.46383228571428575,0.116203,0.4039267142857143,-0.1314752857142857,0.12852514285714287,0.04399517880404624,7,251.322578,33.216459914309084,12
BIS113,1999,0.6405341999999999,-0.6310528666666667,-0.45100419999999997,0.25272486666666666,0.41395013333333336,-0.11184953333333333,0.14860526666666668,0.025529462045140835,15,69.449325,6.16793717293791,12
BIS113,2000,0.6565712307692307,-0.6368035384615385,-0.4701496153846154,0.23962123076923078,0.42480907692307696,-0.12800038461538463,0.1441853076923077,0.029317869474531067,13,65.457823,9.322332569359203,12
BIS113,2001,0.6619734,-0.633671,-0.46291166666666667,0.24381466666666668,0.41608913333333336,-0.11748333333333333,0.1523324,0.03808631072745915,15,106.001086,11.745943383720208,12
BIS113,2002,0.629178,-0.6099213571428571,-0.4404907142857143,0.23329792857142856,0.4239253571428571,-0.12470571428571428,0.13179778571428571,0.04191661390097103,14,39.114849,6.9521418489380284,12
BIS113,2003,0.6604322857142857,-0.6351821428571429,-0.43643021428571427,0.2780469285714286,0.38016335714285715,-0.08616185714285714,0.1436167142857143,0.06098785169754152,14,99.500956,11.866198857373158,12
BIS113,2004,0.6513679285714286,-0.629407,-0.4537026428571429,0.24809614285714288,0.399192,-0.11236478571428571,0.13876492857142858,0.04199645921606741,14,90.992206,12.682491223498594,12
BIS113,2005,0.714036125,-0.6772556875,-0.4644306875,0.315719,0.40214099999999997,-0.0916795,0.1746206875,0.0514682067816304,16,238.095667,22.751474475945933,12
BIS113,2006,0.6961548333333333,-0.6655798333333334,-0.45417208333333337,0.30764966666666665,0.3914185,-0.09156525,0.16832866666666665,0.046666048154234516,12,167.908107,20.044357687522847,12
BIS113,2007,0.6502068333333333,-0.6268930833333334,-0.43872058333333336,0.2636016666666667,0.4070544166666667,-0.10155733333333333,0.15239941666666668,0.05206707132297259,12,62.582923,3.408138823715011,12
BIS113,2008,0.6776162666666666,-0.6509947333333334,-0.4462835333333333,0.2945872,0.3646531333333333,-0.09776926666666666,0.15266986666666665,0.07421118677941706,15,148.464209,26.089234076215142,12
BIS113,2009,0.7009349166666666,-0.6721164166666667,-0.46729933333333334,0.30356608333333335,0.394956,-0.09739633333333333,0.15241833333333332,0.03532551220875087,12,74.7646,7.787641414684509,12
BIS113,2010,0.70784475,-0.680359625,-0.4855439375,0.29555775,0.403317875,-0.09562018750000001,0.1688875,0.03198040745935965,16,99.945411000000007,11.413629835584887,12
BIS113,2011,0.7038750666666667,-0.6755270666666666,-0.47102926666666667,0.30622193333333336,0.41004806666666666,-0.09294693333333333,0.1680538,0.07316056213021825,15,229.23578999999998,42.647583333720235,12
BIS113,2012,0.6883557499999999,-0.656696,-0.464999,0.2780745,0.401573375,-0.1126395,0.117618625,0.06502597279054839,8,79.010641,9.546131482111631,12
BIS113,2013,0.6444025714285715,-0.630723,-0.462259,0.24790635714285714,0.43554421428571427,-0.07023028571428572,0.14631957142857144,0.10663754638653618,14,60.745782,6.490029508944939,12
BIS113,2014,0.70129,-0.68256000000000006,-0.4728855454545455,0.3159898181818182,0.436134,-0.052433909090909094,0.16791,0.0472778813400093,11,82.238387,7.373889953043206,12
BIS113,2015,0.66753175,-0.65620025,-0.45462275,0.29137358333333335,0.452444,-0.05349375,0.15782508333333334,0.04262573377694191,12,72.022926,6.63883853401203,12
BIS113,2016,0.693707375,-0.6776240625,-0.4712095,0.3124816875,0.41424475,-0.042094375,0.169059875,0.09439283827132579,16,155.660817,9.71284179998235,12
BIS113,2017,0.7462445384615385,-0.707634,-0.4425812307692308,0.39122384615384614,0.39614507692307693,-0.014818846153846153,0.18170046153846153,0.057519517426138915,13,316.44052,46.30621027313016,12
BIS113,2018,0.7256576923076923,-0.6893158461538461,-0.45726100000000003,0.3463657692307692,0.4153247692307692,-0.049919384615384615,0.16143115384615386,0.0650663232291798,13,93.07087200000001,9.075418574020354,12
